 (m)      (n)       Wavelength(W)
 33       31       7454884.00000
 33       32      15642784.00000
 34        1           912.58942
 34        2          3659.86377
 34        3          8270.58984
 34        4         14793.55469
 34        5         23298.86719
 34        6         33879.88281
 34        7         46655.82422
 34        8         61775.28516
 34        9         79420.75000
 34       10         99814.46875
 34       11        123226.02344
 34       12        149982.09375
 34       13        180479.12500
 34       14        215200.00000
 34       15        254735.95312
 34       16        299816.03125
 34       17        351346.93750
 34       18        410467.81250
 34       19        478627.31250
 34       20        557693.56250
 34       21        650114.68750
 34       22        759160.31250
 34       23        889294.37500
 34       24       1046771.56250
 34       25       1240631.75000
 34       26       1484440.75000
 34       27       1799521.62500
 34       28       2221419.25000
 34       29       2814121.50000
 34       30       3705612.25000
 34       31       5194529.00000
 34       32       8176801.00000
 34       33      17132096.00000
 35        1           912.54492
 35        2          3659.14819
 35        3          8266.93652
 35        4         14781.86914
 35        5         23269.89648
 35        6         33818.65234
 35        7         46539.79297
 35        8         61572.02344
 35        9         79085.10156
 35       10         99284.89062
 35       11        122419.88281
 35       12        148789.56250
 35       13        178755.10938
 35       14        212753.32812
 35       15        251314.87500
 35       16        295088.21875
 35       17        344871.78125
 35       18        401657.50000
 35       19        466690.68750
 35       20        541553.93750
 35       21        628287.18750
 35       22        729563.06250
 35       23        848950.00000
 35       24        991319.06250
 35       25       1163494.75000
 35       26       1375339.87500
 35       27       1641653.62500
 35       28       1985697.75000
 35       29       2446247.75000
 35       30       3093106.00000
 35       31       4065885.50000
 35       32       5690357.50000
 35       33       8943853.00000
 35       34      18713042.00000
 36        1           912.50409
 36        2          3658.49170
 36        3          8263.58594
 36        4         14771.16016
 36        5         23243.36719
 36        6         33762.65234
 36        7         46433.79688
 36        8         61386.63672
 36        9         78779.51562
 36       10         98803.74219
 36       11        121689.21094
 36       12        147711.59375
 36       13        177201.48438
 36       14        210556.17188
 36       15        248254.78125
 36       16        290878.21875
 36       17        339135.28125
 36       18        393897.59375
 36       19        456247.15625
 36       20        527541.43750
 36       21        609504.68750
 36       22        704358.75000
 36       23        815013.68750
 36       24        945354.25000
 36       25       1100682.50000
 36       26       1288426.37500
 36       27       1519319.25000
 36       28       1809467.12500
 36       29       2184183.75000
 36       30       2685665.50000
 36       31       3389871.00000
 36       32       4448726.00000
 36       33       6216731.50000
 36       34       9757406.00000
 36       35      20388362.00000
 37        1           912.46649
 37        2          3657.88770
 37        3          8260.50586
 37        4         14761.32031
